Id,District_Name,Neighborhood_Name,Street,Weekday,Month,Day,Hour,Part_of_the_day,Mild_injuries,Serious_injuries,Victims,Vehicles_involved,Longitude,Latitude,year,Date
2017S004446    ,Eixample,el Fort Pienc,Sicília / Aragó                                   ,Friday,5,19,19,Afternoon,1,0,1,2,2.175428,41.400076,2017,2017-05-19
2017S009979    ,Sants-Montjuic,el Poble-sec,Lleida / Rius i Taulet                            ,Thursday,11,30,11,Morning,1,0,1,2,2.155181,41.372876,2017,2017-11-30
2017S008913    ,Eixample,el Fort Pienc,Nàpols / Casp                                     ,Friday,10,27,23,Night,2,1,3,2,2.179047,41.395634,2017,2017-10-27
2017S007912    ,Eixample,el Fort Pienc,Consell de Cent / Diagonal                        ,Sunday,9,24,16,Afternoon,1,0,1,2,2.178449,41.401264,2017,2017-09-24
2017S006245    ,Eixample,el Fort Pienc,Lepant / Diagonal                                 ,Monday,7,17,19,Afternoon,1,0,1,2,2.18026,41.401742,2017,2017-07-17
2017S000798    ,Eixample,el Fort Pienc,CASTILLEJOS / GV Corts Catalanes                  ,Monday,1,30,15,Afternoon,1,0,1,2,2.184624,41.401695,2017,2017-01-30
2017S003561    ,Eixample,el Fort Pienc,LEPANTO / Diagonal                                ,Friday,4,21,12,Morning,1,0,1,2,2.18026,41.401742,2017,2017-04-21
2017S002304    ,Sants-Montjuic,el Poble-sec,CONSELL DE CENT / Av Diagonal                     ,Wednesday,3,22,15,Afternoon,1,0,1,2,2.178449,41.401264,2017,2017-03-22
2017S005105    ,Eixample,el Fort Pienc,Sant Joan                                         ,Saturday,6,10,19,Afternoon,1,0,1,1,2.177335,41.393866,2017,2017-06-10
2017S003185    ,Eixample,el Fort Pienc,Casp / Sant Joan                                  ,Thursday,4,6,11,Morning,1,0,1,1,2.176807,41.393927,2017,2017-04-06
2017S006952    ,Eixample,el Fort Pienc,Corts Catalanes / Padilla                         ,Sunday,8,13,4,Night,1,0,1,2,2.18351,41.400877,2017,2017-08-13
2017S008175    ,Eixample,el Fort Pienc,Tetuan                                            ,Wednesday,10,4,12,Morning,1,0,1,2,2.176439,41.395129,2017,2017-10-04
2017S004698    ,Eixample,el Fort Pienc,Corts Catalanes / Nàpols                          ,Sunday,5,28,4,Night,1,0,1,1,2.17782,41.396589,2017,2017-05-28
2017S005853    ,Eixample,el Fort Pienc,Padilla / Diputació                               ,Wednesday,7,5,12,Morning,1,0,1,3,2.182277,41.401812,2017,2017-07-05
2017S003133    ,Sants-Montjuic,el Poble-sec,Santa Madrona                                     ,Wednesday,4,5,8,Morning,1,0,1,1,2.155057,41.370501,2017,2017-04-05
2017S001337    ,Eixample,el Fort Pienc,GV CORTS CATALANES / Nàpols                       ,Friday,2,17,13,Morning,0,0,0,2,2.17782,41.396589,2017,2017-02-17
2017S000896    ,Eixample,el Fort Pienc,GV CORTS CATALANES / Lepant                       ,Thursday,2,2,12,Morning,1,0,1,2,2.182427,41.40007,2017,2017-02-02
2017S001058    ,Eixample,el Fort Pienc,PL TETUAN                                         ,Wednesday,2,8,16,Afternoon,1,0,1,2,2.176439,41.395129,2017,2017-02-08
2017S000263    ,Eixample,el Fort Pienc,PL TETUAN / GV Corts Catalanes                    ,Wednesday,1,11,18,Afternoon,1,0,1,2,2.174422,41.394038,2017,2017-01-11
2017S009839    ,Eixample,el Fort Pienc,Corts Catalanes / Marina                          ,Sunday,11,26,5,Night,1,0,1,2,2.181199,41.399111,2017,2017-11-26
